Data Source,Worldwide Governance Indicators,

Last Updated Date,2026-03-11,

Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
Aruba,ABW,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.915526807308197,0.847438395023346,0.810431301593781,0.826464056968689,0.847226142883301,1.42620670795441,1.41611361503601,1.3224583864212,1.30978834629059,1.29263317584991,1.0364248752594,1.22713792324066,1.2931592999999999,1.2924686999999999,1.2931496,1.2930625,1.2938144,1.2183340999999999,1.2205245,1.2201245999999999,1.2200599999999999,,
Africa Eastern and Southern,AFE,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.78807544708252,,-1.73488676548004,,-1.78066074848175,,-1.67347323894501,-1.5582937002182,-1.6939252614975,-1.66296553611755,-1.87900483608246,-1.85256004333496,-1.90330755710602,-1.87611877918243,-1.87005805969238,-1.9225001335144,-1.6518931388855,-1.60975515842438,-1.4377019405365,-1.51620066165924,-1.5801069999999999,-1.5950990999999999,-1.6668737999999999,-1.6571548999999999,-1.6556644999999999,-1.7202682,-1.8586889,-1.8968049999999999,-1.9354886999999998,,
Africa Western and Central,AFW,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.63046932220459,,-1.52733862400055,,-1.60150170326233,,-1.63334381580353,-1.48285591602325,-1.52091634273529,-1.46479499340057,-1.31127274036407,-1.3751335144043,-1.37856388092041,-1.23628926277161,-1.27295327186584,-1.27705323696136,-1.30477690696716,-1.29094779491425,-1.07495403289795,-1.03065872192383,-1.3287764,-1.3317055,-1.1105521999999999,-1.0519681999999999,-0.94750380000000001,-1.0980135,-1.1625439,-1.1944432,-1.1697408,,
Albania,ALB,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.684481799602509,,-0.929671704769135,,-1.02066767215729,,-0.762321412563324,-0.716323494911194,-0.701032340526581,-0.763833165168762,-0.703135848045349,-0.661545991897583,-0.600079298019409,-0.49437016248703,-0.385760486125946,-0.442926466464996,-0.519839763641357,-0.518828868865967,-0.311199098825455,-0.31968680024147,-0.2061558,-0.2057486,-0.1743527,-0.29142809999999997,-0.25673819999999997,-0.2015586,-0.13096559999999999,-0.15301109999999998,-0.1185025,,
Andorra,AND,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15836250782013,,1.17725396156311,,1.28616547584534,,1.22384059429169,1.05598330497742,1.1943244934082,0.966194272041321,0.855685830116272,1.16824507713318,1.1863876581192,1.21778512001038,1.19792461395264,1.3992737531662,1.40118777751923,1.40161538124084,1.63860523700714,1.51319181919098,1.51293611526489,1.53556883335114,1.53650796413422,1.51021492481232,1.61518156528473,1.64205121994019,1.48548305034637,1.47689890861511,,,
Arab World,ARB,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.688413977622986,,0.716092944145203,,0.655752897262573,,0.702703297138214,0.544806301593781,0.433262318372726,0.389575779438019,0.31153592467308,0.274766087532043,0.417219996452332,0.399278730154037,0.317414134740829,0.498547106981277,0.534359633922577,0.613428473472595,0.651002466678619,0.614161610603333,0.42050509999999997,0.38348869999999996,0.38931949999999999,0.42626819999999999,0.39749869999999998,0.33850399999999997,0.40990299999999996,0.44928859999999998,0.49684479999999998,,
Argentina,ARG,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0755526423454285,,-0.0388815775513649,,-0.214404493570328,,-0.761098086833954,-0.777115821838379,-0.767380177974701,-0.557991087436676,-0.57701563835144,-0.60147225856781,-0.699731647968292,-0.694468080997467,-0.59809422492981,-0.563123285770416,-0.623034238815308,-0.656328618526459,-0.866627335548401,-0.74863588809967,-0.23658979999999999,-0.17250459999999998,-0.2022099,-0.33812559999999997,-0.29054969999999997,-0.30389899999999997,-0.29134850000000001,-0.23777379999999998,-0.2513801,,
Armenia,ARM,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.469098508358002,,-0.380856782197952,,-0.50101625919342,,-0.438531368970871,-0.302864640951157,-0.481950610876083,-0.388776749372482,-0.544567346572876,-0.496518045663834,-0.337751358747482,-0.468710690736771,-0.48135831952095,-0.437706410884857,-0.418281972408295,-0.340888947248459,-0.417726755142212,-0.462551325559616,-0.30805579999999999,-0.31930609999999998,-0.21866059999999998,-0.24798789999999998,-7.5178599999999998E-2,-0.1028405,-0.23864679999999999,-0.21079139999999999,-0.1423943,,
American Samoa,ASM,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.839596450328827,1.10941541194916,1.06922149658203,1.09091985225677,1.11797952651978,1.1250547170639,1.11120820045471,1.09095239639282,1.09636723995209,1.10143828392029,1.40731287002563,1.28552782535553,1.3267711,1.3245468,1.32674,1.3724832999999999,1.2020005999999999,1.1954791999999999,1.1914695,1.1903786999999999,1.0865813,,
Antigua and Barbuda,ATG,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05084490776062,,1.05356311798096,,1.03490352630615,,1.03455221652985,1.03794968128204,0.908433735370636,0.659244239330292,0.921211838722229,0.893503189086914,0.937939405441284,0.972667455673218,0.952869892120361,0.942094743251801,0.945719003677368,0.831786811351776,-0.175784200429916,0.553076863288879,0.90711489999999995,0.65567999999999993,0.58168900000000001,0.58951049999999994,0.5899858,0.56669709999999995,0.6200291,0.61850539999999998,0.60177320000000001,,
Australia,AUS,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71339905261993,,1.7568027973175,,1.72206687927246,,1.76704657077789,1.84277212619781,1.79539239406586,1.71280241012573,1.75673854351044,1.74388742446899,1.75908350944519,1.73300874233246,1.75771832466125,1.73315370082855,1.75977957248688,1.77010083198547,1.91863083839417,1.79032063484192,1.7288287,1.6237003999999999,1.6358922,1.6342611999999999,1.5521387,1.5701837999999999,1.471946,1.5031839,1.4704013999999999,,
Austria,AUT,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80815303325653,,1.80328798294067,,1.81233263015747,,1.85791265964508,1.84791743755341,1.81666433811188,1.84724950790405,1.8997688293457,1.94182562828064,1.91069889068604,1.77744269371033,1.80120265483856,1.79896306991577,1.85712373256683,1.83409059047699,1.93843615055084,1.81477534770966,1.7942460999999998,1.7738843,1.7989462999999999,1.8098145999999999,1.7481078999999999,1.7167010999999999,1.6419641999999999,1.6577234999999999,1.6777399,,
Azerbaijan,AZE,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.20116150379181,,-1.12161064147949,,-1.14563620090485,,-0.964197218418121,-0.884644746780396,-0.900518476963043,-0.792612433433533,-0.885929226875305,-0.880020380020142,-0.836160480976105,-0.879176020622253,-0.891145050525665,-0.938726484775543,-0.879532694816589,-0.756260693073273,-0.697012007236481,-0.716544568538666,-0.67324039999999996,-0.71277509999999999,-0.6533544,-0.67255039999999999,-0.61820940000000002,-0.60858519999999994,-0.54847489999999999,-0.51605849999999998,-0.4853711,,
Burundi,BDI,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.41612029075623,,-1.37878561019897,,-1.56851708889008,,-1.39800202846527,-1.48403012752533,-1.47995054721832,-1.12846672534943,-0.983238279819489,-1.0786669254303,-1.03810000419617,-1.15993535518646,-1.20540106296539,-1.15380430221558,-1.08392977714539,-1.07663321495056,-0.970566868782043,-1.18589973449707,-1.4032902999999999,-1.3274143999999999,-1.3842372999999999,-1.3300858,-1.3212119999999998,-1.3122824,-1.3217136999999999,-1.3078558999999998,-1.3028276999999999,,
Belgium,BEL,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36694669723511,,1.21820557117462,,1.3139340877533,,1.34493565559387,1.33109652996063,1.31122982501984,1.25764083862305,1.22459959983826,1.31538724899292,1.33520579338074,1.37714815139771,1.41785252094269,1.43484890460968,1.44880962371826,1.45676612854004,1.54851686954498,1.45622563362122,1.4372251,1.3775309999999998,1.4207604,1.4493311,1.4533248999999999,1.4052126,1.3398086999999999,1.2719977,1.282799,,
Benin,BEN,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0523155070841312,,0.0505506321787834,,-0.181523725390434,,-0.260578572750092,-0.425706028938293,-0.47660157084465,-0.534019768238068,-0.53156977891922,-0.51314514875412,-0.530703067779541,-0.65431421995163,-0.673685908317566,-0.658945083618164,-0.574936270713806,-0.568178832530975,-0.485574275255203,-0.555592477321625,-0.38592569999999998,-0.3899186,-0.43194569999999999,-0.39534379999999997,-0.39345769999999997,-0.38521339999999998,-0.46846599999999999,-0.39091739999999997,-0.41247929999999999,,
